CUSP_ID,NZMGE,NZMGN,ELAPSED_DAYS,MAG,DEPTH,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND
3367024,2455937,5738731,1.524417361,2.961,12,2010,9,5,5,10,50.95098
3367025,2448949,5734235,1.525588236,2.761,5,2010,9,5,5,12,32.11457
3387173,2461423,5738121,1.527766863,3.353,7.9846,2010,9,5,5,15,40.34798
3367026,2467353,5729317,1.528018444,3.53,8.4936,2010,9,5,5,16,2.08455
3367029,2467113,5729234,1.532573768,3.406,8.4826,2010,9,5,5,22,35.66452
3367030,2437014,5733608,1.533969253,3.096,5,2010,9,5,5,24,36.23449
3367031,2428881,5770682,1.535575019,2.746,8.4242,2010,9,5,5,26,54.97267
3367032,2418540,5736726,1.538850854,2.821,5,2010,9,5,5,31,38.00477
3367033,2461667,5740531,1.540604571,2.778,5,2010,9,5,5,34,9.52589
3367034,2462829,5740727,1.54181604,2.743,12,2010,9,5,5,35,54.19683
3367036,2474755,5730184,1.544137036,3.055,13.9583,2010,9,5,5,39,14.73089
3367038,2421932,5739158,1.545510403,2.769,5,2010,9,5,5,41,13.38985
3367043,2445495,5744186,1.553120473,3.179,7.6694,2010,9,5,5,52,10.89982
3367044,2443570,5733390,1.555273834,3.334,8.5025,2010,9,5,5,55,16.95022
3367046,2443023,5747146,1.559273661,3.099,5.9484,2010,9,5,6,1,2.53534
3367047,2415634,5737153,1.560543588,2.695,5,2010,9,5,6,2,52.25702
3367048,2456673,5733123,1.562812563,2.867,5,2010,9,5,6,6,8.29644
3367049,2441831,5732091,1.565228266,3.207,5,2010,9,5,6,9,37.0132
3367053,2468255,5733205,1.571873012,3.476,8.7364,2010,9,5,6,19,11.11925
3389489,2420490,5740824,1.572043239,3.409,8.7356,2010,9,5,6,19,25.82687
3367056,2457274,5732198,1.578226548,2.824,5,2010,9,5,6,28,20.06474
3367057,2432723,5734913,1.579592016,3.036,5,2010,9,5,6,30,18.04117
3367060,2439759,5732153,1.585736681,2.91,5,2010,9,5,6,39,8.9402
3367061,2441579,5741823,1.588172418,2.562,5,2010,9,5,6,42,39.38794
3389499,2440654,5749199,1.589017026,2.614,5,2010,9,5,6,43,52.36206
3367064,2473728,5735808,1.59327098,3.333,0,2010,9,5,6,49,59.90362
3367065,2453935,5736059,1.594847977,2.758,5,2010,9,5,6,52,16.15624
3367066,2448314,5733591,1.597171828,2.647,5,2010,9,5,6,55,36.93697
3367067,2452304,5732921,1.598511045,2.765,5,2010,9,5,6,57,32.6453
3367070,2449356,5732213,1.60500281,2.946,5,2010,9,5,7,6,53.53379
